Symbol,Trade DATE,NOCP
SHOP,5/21/2015,25.68
SHOP,5/22/2015,28.31
SHOP,5/26/2015,29.65
SHOP,5/27/2015,27.5
SHOP,5/28/2015,27.45
SHOP,5/29/2015,27.2
SHOP,6/1/2015,27.33
SHOP,6/2/2015,26.95
SHOP,6/3/2015,27.44
SHOP,6/4/2015,26.78
SHOP,6/5/2015,27.39
SHOP,6/8/2015,26.98
SHOP,6/9/2015,28.34
SHOP,6/10/2015,28.1
SHOP,6/11/2015,30.73
SHOP,6/12/2015,33.63
SHOP,6/15/2015,35.5
SHOP,6/16/2015,38.11
SHOP,6/17/2015,38.63
SHOP,6/18/2015,35.55
SHOP,6/19/2015,35.52
SHOP,6/22/2015,36.94
SHOP,6/23/2015,35.43
SHOP,6/24/2015,35.96
SHOP,6/25/2015,34.84
SHOP,6/26/2015,33.52
SHOP,6/29/2015,31.32
SHOP,6/30/2015,33.95
SHOP,7/1/2015,31.11
SHOP,7/2/2015,31.31
SHOP,7/6/2015,30.53
SHOP,7/7/2015,30.76
SHOP,7/8/2015,29.19
SHOP,7/9/2015,29.06
SHOP,7/10/2015,29.6
SHOP,7/13/2015,30.42
SHOP,7/14/2015,30.86
SHOP,7/15/2015,29.34
SHOP,7/16/2015,29.39
SHOP,7/17/2015,32.27
SHOP,7/20/2015,33.75
SHOP,7/21/2015,33.22
SHOP,7/22/2015,32.14
SHOP,7/23/2015,33.11
SHOP,7/24/2015,33.57
SHOP,7/27/2015,32.87
SHOP,7/28/2015,34.06
SHOP,7/29/2015,34.16
SHOP,7/30/2015,38.13
SHOP,7/31/2015,37.39
SHOP,8/3/2015,40.36
SHOP,8/4/2015,38.41
SHOP,8/5/2015,38.45
SHOP,8/6/2015,36.28
SHOP,8/7/2015,35.16
SHOP,8/10/2015,33.47
SHOP,8/11/2015,35.14
SHOP,8/12/2015,34.73
SHOP,8/13/2015,35.31
SHOP,8/14/2015,34.56
SHOP,8/17/2015,34.41
SHOP,8/18/2015,32.6
SHOP,8/19/2015,31.1
SHOP,8/20/2015,29.22
SHOP,8/21/2015,27.77
SHOP,8/24/2015,26.28
SHOP,8/25/2015,26.93
SHOP,8/26/2015,28.22
SHOP,8/27/2015,28.51
SHOP,8/28/2015,28
SHOP,8/31/2015,27.54
SHOP,9/1/2015,26.6
SHOP,9/2/2015,26.7
SHOP,9/3/2015,27.15
SHOP,9/4/2015,26.81
SHOP,9/8/2015,27.14
SHOP,9/9/2015,26.01
SHOP,9/10/2015,25.77
SHOP,9/11/2015,26.36
SHOP,9/14/2015,27.21
SHOP,9/15/2015,28.11
SHOP,9/16/2015,28.91
SHOP,9/17/2015,35.55
SHOP,9/18/2015,35.66
SHOP,9/21/2015,34.83
SHOP,9/22/2015,33.66
SHOP,9/23/2015,33.5
SHOP,9/24/2015,33.47
SHOP,9/25/2015,33.91
SHOP,9/28/2015,33.05
SHOP,9/29/2015,33.64
SHOP,9/30/2015,35.2
SHOP,10/1/2015,35.07
SHOP,10/2/2015,35.81
SHOP,10/5/2015,36.76
SHOP,10/6/2015,36.21
SHOP,10/7/2015,37.33
SHOP,10/8/2015,38.24
SHOP,10/9/2015,37.02
SHOP,10/12/2015,34.31
SHOP,10/13/2015,33.12
SHOP,10/14/2015,33.64
SHOP,10/15/2015,34.14
SHOP,10/16/2015,34.33
SHOP,10/19/2015,33.36
SHOP,10/20/2015,31.5
SHOP,10/21/2015,31.95
SHOP,10/22/2015,32.01
SHOP,10/23/2015,31.66
SHOP,10/26/2015,31.07
SHOP,10/27/2015,31.04
SHOP,10/28/2015,31.12
SHOP,10/29/2015,31.59
SHOP,10/30/2015,32.22
SHOP,11/2/2015,30.96
SHOP,11/3/2015,31.44
SHOP,11/4/2015,31.75
SHOP,11/5/2015,31.62
SHOP,11/6/2015,31.54
SHOP,11/9/2015,30.23
SHOP,11/10/2015,28.59
SHOP,11/11/2015,28.18
SHOP,11/12/2015,28.86
SHOP,11/13/2015,28.33
SHOP,11/16/2015,27.35
SHOP,11/17/2015,26.39
SHOP,11/18/2015,28
SHOP,11/19/2015,29.45
SHOP,11/20/2015,28.23
SHOP,11/23/2015,28.87
SHOP,11/24/2015,26.95
SHOP,11/25/2015,26.44
SHOP,11/27/2015,26.71
SHOP,11/30/2015,26.34
SHOP,12/1/2015,26.28
SHOP,12/2/2015,26.41
SHOP,12/3/2015,26.83
SHOP,12/4/2015,27.12
SHOP,12/7/2015,26.88
SHOP,12/8/2015,26.48
SHOP,12/9/2015,24.81
SHOP,12/10/2015,24.96
SHOP,12/11/2015,24.76
SHOP,12/14/2015,24.56
SHOP,12/15/2015,25.36
SHOP,12/16/2015,26.21
SHOP,12/17/2015,26.53
SHOP,12/18/2015,25.31
SHOP,12/21/2015,24.45
SHOP,12/22/2015,24.66
SHOP,12/23/2015,24.92
SHOP,12/24/2015,25.34
SHOP,12/28/2015,24.84
SHOP,12/29/2015,25.18
SHOP,12/30/2015,25.98
SHOP,12/31/2015,25.8
SHOP,1/4/2016,25.72
SHOP,1/5/2016,25.31
SHOP,1/6/2016,25.3
SHOP,1/7/2016,24.67
SHOP,1/8/2016,24.93
SHOP,1/11/2016,23.87
SHOP,1/12/2016,23.74
SHOP,1/13/2016,21.38
SHOP,1/14/2016,20.64
SHOP,1/15/2016,19.89
SHOP,1/19/2016,20.3
SHOP,1/20/2016,20.53
SHOP,1/21/2016,22.79
SHOP,1/22/2016,23.07
SHOP,1/25/2016,23.13
SHOP,1/26/2016,23.09
SHOP,1/27/2016,22
SHOP,1/28/2016,22.5
SHOP,1/29/2016,23.22
SHOP,2/1/2016,23.53
SHOP,2/2/2016,22.62
SHOP,2/3/2016,23
SHOP,2/4/2016,23.48
SHOP,2/5/2016,21.87
SHOP,2/8/2016,20.38
SHOP,2/9/2016,19.85
SHOP,2/10/2016,19.97
SHOP,2/11/2016,19.37
SHOP,2/12/2016,19.33
SHOP,2/16/2016,20.5
SHOP,2/17/2016,22.37
SHOP,2/18/2016,20.59
SHOP,2/19/2016,20.57
SHOP,2/22/2016,21.21
SHOP,2/23/2016,20.04
SHOP,2/24/2016,21.02
SHOP,2/25/2016,21.66
SHOP,2/26/2016,22
SHOP,2/29/2016,22.38
SHOP,3/1/2016,22.69
SHOP,3/2/2016,24.36
SHOP,3/3/2016,24.27
SHOP,3/4/2016,25.16
SHOP,3/7/2016,25.87
SHOP,3/8/2016,26.79
SHOP,3/9/2016,26.07
SHOP,3/10/2016,25.39
SHOP,3/11/2016,26.7
SHOP,3/14/2016,26.58
SHOP,3/15/2016,25.83
SHOP,3/16/2016,26.8
SHOP,3/17/2016,27.15
SHOP,3/18/2016,28.49
SHOP,3/21/2016,28.04
SHOP,3/22/2016,27.51
SHOP,3/23/2016,26.2
SHOP,3/24/2016,26.99
SHOP,3/28/2016,27.59
SHOP,3/29/2016,27.97
SHOP,3/30/2016,27.77
SHOP,3/31/2016,28.21
SHOP,4/1/2016,28.45
SHOP,4/4/2016,29.3
SHOP,4/5/2016,28.75
SHOP,4/6/2016,29.5
SHOP,4/7/2016,29.21
SHOP,4/8/2016,29.55
SHOP,4/11/2016,29.52
SHOP,4/12/2016,29.77
SHOP,4/13/2016,29.8
SHOP,4/14/2016,30.96
SHOP,4/15/2016,30.97
SHOP,4/18/2016,31.53
SHOP,4/19/2016,32.05
SHOP,4/20/2016,31.5
SHOP,4/21/2016,31.53
SHOP,4/22/2016,31.81
SHOP,4/25/2016,31.13
SHOP,4/26/2016,31.47
SHOP,4/27/2016,31.83
SHOP,4/28/2016,31.75
SHOP,4/29/2016,31.85
SHOP,5/2/2016,31.41
SHOP,5/3/2016,30.74
SHOP,5/4/2016,29.61
SHOP,5/5/2016,28.52
SHOP,5/6/2016,27.72
SHOP,5/9/2016,26.46
SHOP,5/10/2016,26.63
SHOP,5/11/2016,26.27
SHOP,5/12/2016,26.95
SHOP,5/13/2016,26.29
SHOP,5/16/2016,26.16
SHOP,5/17/2016,26.8
SHOP,5/18/2016,26.34
SHOP,5/19/2016,25.97
SHOP,5/20/2016,26.1
SHOP,5/23/2016,26.82
SHOP,5/24/2016,27.06
SHOP,5/25/2016,28.2
SHOP,5/26/2016,27.76
SHOP,5/27/2016,28.57
SHOP,5/31/2016,29.29
SHOP,6/1/2016,31.07
SHOP,6/2/2016,29.84
SHOP,6/3/2016,29.58
SHOP,6/6/2016,30
SHOP,6/7/2016,29.86
SHOP,6/8/2016,30.09
SHOP,6/9/2016,29.41
SHOP,6/10/2016,28.28
SHOP,6/13/2016,27.99
SHOP,6/14/2016,29.05
SHOP,6/15/2016,28.66
SHOP,6/16/2016,28.37
SHOP,6/17/2016,28.94
SHOP,6/20/2016,29.77
SHOP,6/21/2016,29.87
SHOP,6/22/2016,29.81
SHOP,6/23/2016,31.2
SHOP,6/24/2016,29.07
SHOP,6/27/2016,27.16
SHOP,6/28/2016,28.54
SHOP,6/29/2016,30.32
SHOP,6/30/2016,30.76
SHOP,7/1/2016,30.83
SHOP,7/5/2016,30.61
SHOP,7/6/2016,30.65
SHOP,7/7/2016,30.37
SHOP,7/8/2016,31
SHOP,7/11/2016,31.85
SHOP,7/12/2016,32.49
SHOP,7/13/2016,31.99
SHOP,7/14/2016,32.1
SHOP,7/15/2016,32.32
SHOP,7/18/2016,32.2
SHOP,7/19/2016,33.26
SHOP,7/20/2016,33.09
SHOP,7/21/2016,32.73
SHOP,7/22/2016,32.87
SHOP,7/25/2016,32.6
SHOP,7/26/2016,32.55
SHOP,7/27/2016,33.21
SHOP,7/28/2016,34.27
SHOP,7/29/2016,34.27
SHOP,8/1/2016,34.05
SHOP,8/2/2016,33.53
SHOP,8/3/2016,36.79
SHOP,8/4/2016,36.85
SHOP,8/5/2016,37.01
SHOP,8/8/2016,38.31
SHOP,8/9/2016,38.79
SHOP,8/10/2016,39.29
SHOP,8/11/2016,39.91
SHOP,8/12/2016,39.38
SHOP,8/15/2016,39.08
SHOP,8/16/2016,38.37
SHOP,8/17/2016,38.74
SHOP,8/18/2016,40.25
SHOP,8/19/2016,42.41
SHOP,8/22/2016,42.47
SHOP,8/23/2016,41.76
SHOP,8/24/2016,40.94
SHOP,8/25/2016,40.63
SHOP,8/26/2016,41.52
SHOP,8/29/2016,41.39
SHOP,8/30/2016,41.29
SHOP,8/31/2016,41.36
SHOP,9/1/2016,40.67
SHOP,9/2/2016,42.42
SHOP,9/6/2016,43.19
SHOP,9/7/2016,42.78
SHOP,9/8/2016,43.21
SHOP,9/9/2016,41.04
SHOP,9/12/2016,41.63
SHOP,9/13/2016,40.57
SHOP,9/14/2016,40.9
SHOP,9/15/2016,41.77
SHOP,9/16/2016,41.49
SHOP,9/19/2016,42.95
SHOP,9/20/2016,42.46
SHOP,9/21/2016,44.5
SHOP,9/22/2016,43.86
SHOP,9/23/2016,43.35
SHOP,9/26/2016,43.2
SHOP,9/27/2016,43.87
SHOP,9/28/2016,42.75
SHOP,9/29/2016,42.96
SHOP,9/30/2016,42.92
SHOP,10/3/2016,43.03
SHOP,10/4/2016,43.41
SHOP,10/5/2016,43.77
SHOP,10/6/2016,43.68
SHOP,10/7/2016,44.36
SHOP,10/10/2016,43.73
SHOP,10/11/2016,42.3
SHOP,10/12/2016,42.39
SHOP,10/13/2016,42.09
SHOP,10/14/2016,42.82
SHOP,10/17/2016,42.02
SHOP,10/18/2016,42.48
SHOP,10/19/2016,43.39
SHOP,10/20/2016,43.15
SHOP,10/21/2016,43.48
SHOP,10/24/2016,43.86
SHOP,10/25/2016,43.49
SHOP,10/26/2016,43.03
SHOP,10/27/2016,41.35
SHOP,10/28/2016,40.84
SHOP,10/31/2016,41.45
SHOP,11/1/2016,40.78
SHOP,11/2/2016,43.57
SHOP,11/3/2016,40.41
SHOP,11/4/2016,39.15
SHOP,11/7/2016,40.15
SHOP,11/8/2016,41.35
SHOP,11/9/2016,40.58
SHOP,11/10/2016,40.09
SHOP,11/11/2016,39.66
SHOP,11/14/2016,37.9
SHOP,11/15/2016,39.92
SHOP,11/16/2016,40.36
SHOP,11/17/2016,42.02
SHOP,11/18/2016,44.05
SHOP,11/21/2016,44.89
SHOP,11/22/2016,42.96
SHOP,11/23/2016,43.05
SHOP,11/25/2016,43.27
SHOP,11/28/2016,42.49
SHOP,11/29/2016,42.59
SHOP,11/30/2016,41.67
SHOP,12/1/2016,39.67
SHOP,12/2/2016,39.05
SHOP,12/5/2016,40.57
SHOP,12/6/2016,40.9
SHOP,12/7/2016,40.72
SHOP,12/8/2016,42.63
SHOP,12/9/2016,42.22
SHOP,12/12/2016,42.04
SHOP,12/13/2016,42.27
SHOP,12/14/2016,41.75
SHOP,12/15/2016,42.41
SHOP,12/16/2016,42.05
SHOP,12/19/2016,41.87
SHOP,12/20/2016,41.42
SHOP,12/21/2016,40.8
SHOP,12/22/2016,40.17
SHOP,12/23/2016,41.34
SHOP,12/27/2016,43.64
SHOP,12/28/2016,43.22
SHOP,12/29/2016,43.1
SHOP,12/30/2016,42.87
SHOP,1/3/2017,42.82
SHOP,1/4/2017,44.14
SHOP,1/5/2017,47.68
SHOP,1/6/2017,46.9
SHOP,1/9/2017,47.18
SHOP,1/10/2017,47.87
SHOP,1/11/2017,48.33
SHOP,1/12/2017,48.58
SHOP,1/13/2017,48.1
SHOP,1/17/2017,49.52
SHOP,1/18/2017,49.98
SHOP,1/19/2017,50.66
SHOP,1/20/2017,50.09
SHOP,1/23/2017,49.44
SHOP,1/24/2017,49.42
SHOP,1/25/2017,51.36
SHOP,1/26/2017,51.01
SHOP,1/27/2017,51.54
SHOP,1/30/2017,50.7
SHOP,1/31/2017,50.82
SHOP,2/1/2017,51.19
SHOP,2/2/2017,52.32
SHOP,2/3/2017,52.12
SHOP,2/6/2017,52.68
SHOP,2/7/2017,53.13
SHOP,2/8/2017,53.37
SHOP,2/9/2017,54.61
SHOP,2/10/2017,55.22
SHOP,2/13/2017,56.05
SHOP,2/14/2017,56.05
SHOP,2/15/2017,60.61
SHOP,2/16/2017,60.97
SHOP,2/17/2017,61.52
SHOP,2/21/2017,63.08
SHOP,2/22/2017,63.59
SHOP,2/23/2017,62.73
SHOP,2/24/2017,61.75
SHOP,2/27/2017,59.93
SHOP,2/28/2017,59.21
SHOP,3/1/2017,59.65
SHOP,3/2/2017,59.67
SHOP,3/3/2017,60.29
SHOP,3/6/2017,59.32
SHOP,3/7/2017,60.13
SHOP,3/8/2017,60.91
SHOP,3/9/2017,62.39
SHOP,3/10/2017,64.15
SHOP,3/13/2017,64.93
SHOP,3/14/2017,63.83
SHOP,3/15/2017,64.84
SHOP,3/16/2017,64.99
SHOP,3/17/2017,66.99
SHOP,3/20/2017,68.86
SHOP,3/21/2017,67.19
SHOP,3/22/2017,66.71
SHOP,3/23/2017,67.58
SHOP,3/24/2017,68.98
SHOP,3/27/2017,70.4
SHOP,3/28/2017,72.37
SHOP,3/29/2017,72.72
SHOP,3/30/2017,69.05
SHOP,3/31/2017,68.09
SHOP,4/3/2017,69.23
SHOP,4/4/2017,68.53
