Symbol,Trade DATE,NOCP
SQ,11/19/2015,13.07
SQ,11/20/2015,12.85
SQ,11/23/2015,12.12
SQ,11/24/2015,12.02
SQ,11/25/2015,11.9
SQ,11/27/2015,12.05
SQ,11/30/2015,12.04
SQ,12/1/2015,11.91
SQ,12/2/2015,11.93
SQ,12/3/2015,11.92
SQ,12/4/2015,12.04
SQ,12/7/2015,12.36
SQ,12/8/2015,12.12
SQ,12/9/2015,11.99
SQ,12/10/2015,12.05
SQ,12/11/2015,11.95
SQ,12/14/2015,12.33
SQ,12/15/2015,12.47
SQ,12/16/2015,12.27
SQ,12/17/2015,12.32
SQ,12/18/2015,12.34
SQ,12/21/2015,12.24
SQ,12/22/2015,12.46
SQ,12/23/2015,12.5
SQ,12/24/2015,12.6
SQ,12/28/2015,12.83
SQ,12/29/2015,12.74
SQ,12/30/2015,12.78
SQ,12/31/2015,13.09
SQ,1/4/2016,12.16
SQ,1/5/2016,11.51
SQ,1/6/2016,11.52
SQ,1/7/2016,11.16
SQ,1/8/2016,11.31
SQ,1/11/2016,11.84
SQ,1/12/2016,12.09
SQ,1/13/2016,11.61
SQ,1/14/2016,10.82
SQ,1/15/2016,10.27
SQ,1/19/2016,9.47
SQ,1/20/2016,9.49
SQ,1/21/2016,10.02
SQ,1/22/2016,9.85
SQ,1/25/2016,9.81
SQ,1/26/2016,9.54
SQ,1/27/2016,9.05
SQ,1/28/2016,8.74
SQ,1/29/2016,8.77
SQ,2/1/2016,8.76
SQ,2/2/2016,8.47
SQ,2/3/2016,8.43
SQ,2/4/2016,8.9
SQ,2/5/2016,8.63
SQ,2/8/2016,8.37
SQ,2/9/2016,8.62
SQ,2/10/2016,8.88
SQ,2/11/2016,8.62
SQ,2/12/2016,9.3
SQ,2/16/2016,9.93
SQ,2/17/2016,9.84
SQ,2/18/2016,9.98
SQ,2/19/2016,9.97
SQ,2/22/2016,10.38
SQ,2/23/2016,9.71
SQ,2/24/2016,9.89
SQ,2/25/2016,10.26
SQ,2/26/2016,10.32
SQ,2/29/2016,10.44
SQ,3/1/2016,10.72
SQ,3/2/2016,11.97
SQ,3/3/2016,12.25
SQ,3/4/2016,12.01
SQ,3/7/2016,12.26
SQ,3/8/2016,11.48
SQ,3/9/2016,12.03
SQ,3/10/2016,11.3
SQ,3/11/2016,11.1
SQ,3/14/2016,11.61
SQ,3/15/2016,11.95
SQ,3/16/2016,11.87
SQ,3/17/2016,11.95
