Symbol,Trade DATE,NOCP
TWLO,6/23/16,28.79
TWLO,6/24/16,26.3
TWLO,6/27/16,27.25
TWLO,6/28/16,29.92
TWLO,6/29/16,37.08
TWLO,6/30/16,36.5
TWLO,7/1/16,34.03
TWLO,7/5/16,34.04
TWLO,7/6/16,37.93
TWLO,7/7/16,36.51
TWLO,7/8/16,35.54
TWLO,7/11/16,37.3
TWLO,7/12/16,38.3
TWLO,7/13/16,42.25
TWLO,7/14/16,41.75
TWLO,7/15/16,43
TWLO,7/18/16,41.03
TWLO,7/19/16,39.07
TWLO,7/20/16,41.73
TWLO,7/21/16,40.12
TWLO,7/22/16,40.81
TWLO,7/25/16,40.75
TWLO,7/26/16,40.39
TWLO,7/27/16,42.54
TWLO,7/28/16,42.17
TWLO,7/29/16,40.63
TWLO,8/1/16,39.33
TWLO,8/2/16,37.93
TWLO,8/3/16,38.55
TWLO,8/4/16,40.59
TWLO,8/5/16,41.49
TWLO,8/8/16,42.5
TWLO,8/9/16,43.01
TWLO,8/10/16,43.63
TWLO,8/11/16,48.71
TWLO,8/12/16,53.29
TWLO,8/15/16,58.47
TWLO,8/16/16,59.34
TWLO,8/17/16,58.86
TWLO,8/18/16,54.4
TWLO,8/19/16,54.88
TWLO,8/22/16,58.65
TWLO,8/23/16,56.08
TWLO,8/24/16,53.6
TWLO,8/25/16,51.93
TWLO,8/26/16,54.25
TWLO,8/29/16,53.82
TWLO,8/30/16,53.8
TWLO,8/31/16,53.62
TWLO,9/1/16,54.38
TWLO,9/2/16,57.62
TWLO,9/6/16,59.18
TWLO,9/7/16,56.63
TWLO,9/8/16,57.45
TWLO,9/9/16,56
TWLO,9/12/16,56.7
TWLO,9/13/16,53.97
TWLO,9/14/16,53.12
TWLO,9/15/16,54
TWLO,9/16/16,56.75
TWLO,9/19/16,57.28
TWLO,9/20/16,56.76
TWLO,9/21/16,61.7
TWLO,9/22/16,64.92
TWLO,9/23/16,64.07
TWLO,9/26/16,64.24
TWLO,9/27/16,68.22
TWLO,9/28/16,68.97
TWLO,9/29/16,68.72
TWLO,9/30/16,64.36
TWLO,10/3/16,65.02
TWLO,10/4/16,60.94
TWLO,10/5/16,61.47
TWLO,10/6/16,60.69
TWLO,10/7/16,60.58
TWLO,10/10/16,52.02
TWLO,10/11/16,52.44
TWLO,10/12/16,50.8
TWLO,10/13/16,47.24
TWLO,10/14/16,46.11
TWLO,10/17/16,44.45
TWLO,10/18/16,47.77
TWLO,10/19/16,46.51
TWLO,10/20/16,44.14
TWLO,10/21/16,41.06
TWLO,10/24/16,40.73
TWLO,10/25/16,38.6
TWLO,10/26/16,39.24
TWLO,10/27/16,37.26
TWLO,10/28/16,35.42
TWLO,10/31/16,34.12
TWLO,11/1/16,35.88
TWLO,11/2/16,34.15
TWLO,11/3/16,32.6
TWLO,11/4/16,31.57
TWLO,11/7/16,30.52
TWLO,11/8/16,31.41
TWLO,11/9/16,31.81
TWLO,11/10/16,31.5
TWLO,11/11/16,31.56
TWLO,11/14/16,31.39
TWLO,11/15/16,34.73
TWLO,11/16/16,37.05
TWLO,11/17/16,35.21
TWLO,11/18/16,36.88
TWLO,11/21/16,36.8
TWLO,11/22/16,37.39
TWLO,11/23/16,35.68
TWLO,11/25/16,35.07
TWLO,11/28/16,33.85
TWLO,11/29/16,33.61
TWLO,11/30/16,33.92
TWLO,12/1/16,31.87
TWLO,12/2/16,30.38
TWLO,12/5/16,30.73
TWLO,12/6/16,32.14
TWLO,12/7/16,31.02
TWLO,12/8/16,30.6
TWLO,12/9/16,29.34
TWLO,12/12/16,29.23
TWLO,12/13/16,29.27
TWLO,12/14/16,29.51
TWLO,12/15/16,29.65
TWLO,12/16/16,29.25
TWLO,12/19/16,29.15
TWLO,12/20/16,29.92
TWLO,12/21/16,34.59
TWLO,12/22/16,31.71
TWLO,12/23/16,32.22
TWLO,12/27/16,32.61
TWLO,12/28/16,30.21
TWLO,12/29/16,29.27
TWLO,12/30/16,28.85
TWLO,1/3/17,26.5
TWLO,1/4/17,27.51
TWLO,1/5/17,28.1
